Cymraeg,Saesneg
adjiwfant,adjuvant
Aberafan,Aberavon
Aberdyfi,Aberdovey
Aberhafesb,Aberhafesp
Abercynffig,Aberkenfig
Aberddawan,Aberthaw
abseilio,abseiling
absoliwt,absolute
achrededig,accredited
aseton,acetone
affasia,aphasia
acwariwm,aquarium
Arabeg,Arabic
adio,add
adfocatiaeth,advocacy
adfocad,advocate
aerobeg,aerobics
affidafid,affidavit
Affganistan,Afghanistan
Affganistanaidd,Afghanistani
Affricanaidd,African
asiant,agent
asiantwyr,agents
agoraffobig,agoraphobic
agronomegydd,agronomist
Albaniaidd,Albanian
alffalffa,alfalfa
algorithmig,algorithmic
alcaloid,alkaloid
alcaloidau,alkaloids
alel,allele
alergen,allergen
alergenig,allergenic
alergenau,allergens
alergedd,allergy
alffa,alpha
alffamerig,alphameric
alffaniwmerig,alphanumeric
amwynder,amenity
amffetaminau,amphetamines
anemia,anaemia
anaerobig,anaerobic
anesthetig,anaesthetic
analog,analogue
angori,anchor
angor,anchor
angorfa,anchorpoint
angorfeydd,anchorpoints
anemoni,anemone
angiogramau,angiograms
angiograffeg,angiography
angioplasteg,angioplasty
animeiddio,animation
animeiddiad,animation
anecs,annex(e)
anodedig,annotated
anodiad,annotation
anod,anode
antena,antenna
anthracs,anthrax
archaeolegydd,archaeologist
archddiacon,archdeacon
archif,archive
archifau,archives
arthropodau,arthropods
Ashcenasi,Ashkenazi
asbaragws,asparagus
asesu,assess
Bwcle,Buckley
Bwda,Buddha
byffer,buffer
byffro,buffer
byg,bug
bygi,buggy
Asturias,Asturia
atacsia,ataxia
atriwm,atrium
awdiolegol,audiological
awdiolegydd,audiologist
awdioleg,audiology
Awstralia,Australia
Awstria,Austria
awdur,author
awdurdodol,authoritative
awdurdod,authority
awto,auto
awtoclaf,autoclave
awtogywiro,autocorrect
awtoffitio,autofit
awtofformat,autoformat
awtolwytho,autoload
awtomatig,automatic
awtomatiaeth,automation
awtobeilot,autopilot
awtodestun,autotext
awtofertigol,autovertical
aseleas,azaleas
bagloriaeth,baccalaureate
brocoli,broccoli
broceriaeth,brokerage
broncitis,bronchitis
broncws,bronchus
bacteremia,bacteraemia
bacterioleg,bacteriology
balans,balance
balast,ballast
Bangladeshaidd,Bangladeshi
banc,bank
baner,banner
barbitwradau,barbiturates
basig,basic
Basel,Basle
bas,bass
Bafaria,Bavaria
Biwmares,Beaumaris
Bugeildy,Beguildy
Belarws,Belarus
Belgrad,Belgrade
Bengaleg,Bengali
Betws,Bettws
bibliotherapi,bibliotherapy
Bil,Bill
biliwn,billion
biocemegol,biochemical
biomas,biomass
biopsi,biopsy
biotechnolegol,biotechnological
biotechnoleg,biotechnology
blacmel,blackmail
Blaenau,Blaina
blanced,blanket
blipio,bleep
blogio,blog
blogiwr,blogger
boeler,boiler
bolws,bolus
brandio,branding
bridio,breed
bridiwr,breeder
Brychdyn,Broughton
brwselosis,brucellosis
Brwsel,Brussels
carafannau,caravans
carbohydrad,carbohydrate
bwlb,bulb
Bwlgaria,Bulgaria
Bwlgaraidd,Bulgarian
Bwlgareg,Bulgarian
bwled,bullet
bwnd,bund
bwrgleriaeth,burglary
Bwrgwyn,Burgundy
bwrsar,bursar
bwrsariaid,bursars
bwrsariaethau,bursarships
bwrsari,bursary
bws,bus
busnes,business
bwtri,buttery
botwm,button
byroffyt,byrophyte
byroffytau,byrophytes
beit,byte
cebl,cable
Caerbwdi,Caerbwdy
Caerllion,Caerleon
Caerffili,Caerphilly
calendr,calendar
camelidau,camelids
camelia,camellia
campws,campus
campylobacterau,campylobacters
camlesi,canals
caneris,canaries
canslo,cancel
canser,cancer
canseraidd,cancerous
canabis,cannabis
canibaliaeth,cannibalism
caprys,capers
carcas,carcass
cardiograffydd,cardiographer
cardiolegydd,cardiologist
cardioleg,cardiology
cardoffisioleg,cardiophysiology
cardiofasgwlaidd,cardiovascular
Caeriw,Carew
cariwr,carrier
cartilag,cartilage
CartoGraffeg,CartoGraphics
castellog,castellated
Catalaneg,Catalan
catalogydd,cataloguer
cathbysgod,catfish
cathbysgodyn,catfish
Cathedin,Cathedine
CGC,CCW
CCGC,CCW
centimetr,centimetre
centimetrau,centimetres
cerameg,ceramics
cangell,chancel
canghellor,chancellor
cominwr,commoner
cominwyr,commoners
caplan,chaplain
cemotherapi,chemotherapy
ceirios,cherries
ciropodydd,chiropodist
Ceiropractydd,Chiropractor
clamydia,chlamydia
colesystectomi,cholecystectomy
cronig,chronic
cronoleg,chronology
cladin,claddings
clir,clear
clercol,clerical
clerigol,clerical
clercod,clerks
clic,click
clicio,click
cleient,client
cleientiaid,clients
clinigydd,clinician
clincer,clinker
clipfwrdd,clipboard
cloch,cloche
databeilot,datapilot
clwstwr,cluster
clystyrau,clusters
cod,code
codio,code
Coedcernyw,Coedkernew
colagen,collagen
coladu,collate
colonosgopi,colonoscopy
colposgopi,colposcopy
coma,comma
Comander,Commander
comisiynydd,commissioner
comisiynwyr,commissioners
cwmwd,commote
comiwn,commune
cymudo,commute
compostadwyedd,compostability
consesiynydd,concessionaire
concordatau,concordats
condomau,condoms
conffeti,confetti
Conamara,Connemara
Cwnstabl,Constable
crac,crack
Crai,Cray
Deon,Dean
confylsiynau,convulsions
copi,copy
copideipio,copytyping
cwrwgl,coracle
Corc,Cork
crwner,coroner
crwneriaid,coroners
coridor,corridor
costeffeithiol,cost-effective
cotwm,cotton
cwnsela,counselling
cwnselydd,counsellor
cwnselwyr,counsellors
Credyd,Credit
credydwr,creditor
credydwyr,creditors
Creta,Crete
Crug,Crick
Crucywel,Crickhowell
Crugion,Criggion
croesfrid,cross bred
democratiaeth,democracy
democrataidd,democratic
Denmarc,Denmark
croesbylu,cross-fade
croesdablu,cross-tabulation
croesfrid,cross-breed
croesbeillio,crosspollination
Crucornau,Crucorney
Creunant,Crynant
cryptosporidiwm,cryptosporidium
CSG,CSGs
ciwbicl,cubicle
cyltifar,cultivar
cyltifarau,cultivars
cwlfert,culvert
cwlfertau,culverts
cyweirio,cure
cyrffyw,curfew
cerrynt,current
cyrchwr,cursor
cwrtil,curtilage
cytleri,cutlery
cypreswydden,cypress
cytogeneteg,cytogenetics
cytoleg,cytology
dablwyr,dabblers
desibel,decibel
dec,deck
diffynnydd,defendant
diffibrilio,defibrillate
diffibriliwr,defibrillator
diffibrilwyr,defibrillators
diffinio,define
Defflectograff,Deflectograph
dibynyddion,dependents
dibrisiant,depreciation
dibrisio,depreciation
dermatoleg,dermatology
disgrifydd,descriptor
disgrifyddion,descriptors
dyfais,device
diagnosteg,diagnostics
deialwr,dialer
deialog,dialog
diathermedd,diathermy
deigastio,die-casting
deiet,diet
digid,digit
digidol,digital
digidoleiddio,digitalise
dimensiwn,dimension
dimensiynu,dimension
Dinorwig,Dinorwic
deuod,diode
deuocsin,dioxin
dipio,dip
difftheria,diphtheria
